2300WP 2.209 7.703 -2.563 2.352 6.334 -1.583	2300WP 2.209 7.703 -2.563 1.955 6.178 -1.938	2300WP 2.209 7.703 -2.563 1.955 6.178 -1.938	2300WP 2.209 7.703 -2.563 2.001 6.124 -1.937
2300WQ -0.118 -1.493 0.542 -3.327 -1.743 0.731	2300WQ -0.118 -1.493 0.542 -0.119 -1.483 0.541	2300WQ -0.118 -1.493 0.542 -0.119 -1.483 0.541	2300WQ -0.118 -1.493 0.542 0.046 -1.666 0.358
2300WS 3.054 3.883 -0.878 3.947 4.63 -3.072	2300WS 3.054 3.883 -0.878 2.876 3.848 -0.85	2300WS 3.054 3.883 -0.878 2.876 3.848 -0.85	2300WS 3.054 3.883 -0.878 2.833 3.837 -0.924
2300WU 5.034 2.826 -0.247 3.576 -0.462 -0.255	2300WU 5.034 2.826 -0.247 4.754 2.722 -0.197	2300WU 5.034 2.826 -0.247 4.754 2.722 -0.197	2300WU 5.034 2.826 -0.247 5.484 2.518 -0.177
2300WV -3.036 3.522 0.007 -1.849 2.037 -0.981	2300WV -3.036 3.522 0.007 -2.596 2.907 -0.015	2300WV -3.036 3.522 0.007 -2.596 2.907 -0.015	2300WV -3.036 3.522 0.007 -2.505 2.861 -0.078
2300WW -4.498 3.184 0.62 -3.916 2.856 0.296	2300WW -4.498 3.184 0.62 -4.454 3.102 0.571	2300WW -4.498 3.184 0.62 -4.454 3.102 0.571	2300WW -4.498 3.184 0.62 -2.279 3.29 0.45
2300WX 0.067 -3.778 2.04 1.261 -6.868 2.383	2300WX 0.067 -3.778 2.04 0.155 -3.581 1.558	2300WX 0.067 -3.778 2.04 0.155 -3.581 1.558	2300WX 0.067 -3.778 2.04 -0.075 -3.701 1.623
2300WZ 1.12 -2.277 1.203 1.331 -2.152 2.423	2300WZ 1.12 -2.277 1.203 1.115 -2.273 1.196	2300WZ 1.12 -2.277 1.203 1.115 -2.273 1.196	2300WZ 1.12 -2.277 1.203 0.854 -2.323 1.163
2300X4 3.772 3.268 0.0 -1.273 1.481 0.0	2300X4 3.772 3.268 0.0 3.785 3.248 0.0	2300X4 3.772 3.268 0.0 3.821 3.261 0.0	2300X4 3.772 3.268 0.0 0.44 2.57 0.0
2300X5 4.701 -4.944 0.0 1.125 0.424 -0.0	2300X5 4.701 -4.944 0.0 4.156 -4.033 -0.0	2300X5 4.701 -4.944 0.0 4.156 -4.033 -0.0	2300X5 4.701 -4.944 0.0 2.638 -3.237 -0.0
2300X7 0.325 -6.219 0.254 -0.577 -5.12 -0.659	2300X7 0.325 -6.219 0.254 0.323 -6.23 0.25	2300X7 0.325 -6.219 0.254 0.323 -6.23 0.25	2300X7 0.325 -6.219 0.254 -0.566 -7.773 0.135
2300X8 0.137 -0.338 0.077 0.577 0.094 0.011	2300X8 0.137 -0.338 0.077 0.171 -0.32 0.001	2300X8 0.137 -0.338 0.077 0.171 -0.32 0.001	2300X8 0.137 -0.338 0.077 -0.267 -0.338 0.01
2300X9 6.192 2.548 -2.323 5.322 -1.035 -1.419	2300X9 6.192 2.548 -2.323 6.223 2.545 -2.331	2300X9 6.192 2.548 -2.323 6.223 2.545 -2.331	2300X9 6.192 2.548 -2.323 4.841 2.883 -2.273
2300XA -2.453 1.322 -0.005 -2.052 0.846 -0.016	2300XA -2.453 1.322 -0.005 -2.426 1.328 -0.006	2300XA -2.453 1.322 -0.005 -2.426 1.328 -0.006	2300XA -2.453 1.322 -0.005 -2.1 2.243 0.027
2300XC -0.084 -4.339 0.641 -2.43 -4.239 0.203	2300XC -0.084 -4.339 0.641 -0.219 -3.55 0.489	2300XC -0.084 -4.339 0.641 -0.219 -3.55 0.489	2300XC -0.084 -4.339 0.641 -0.539 -3.631 0.468
2300XB 1.161 -5.172 0.631 0.537 -3.621 0.081	2300XB 1.161 -5.172 0.631 0.992 -4.294 0.484	2300XB 1.161 -5.172 0.631 0.992 -4.294 0.484	2300XB 1.161 -5.172 0.631 1.835 -4.373 0.441
2300XD 1.577 -0.589 1.055 3.234 -0.786 2.073	2300XD 1.577 -0.589 1.055 1.502 -0.492 1.383	2300XD 1.577 -0.589 1.055 1.502 -0.492 1.383	2300XD 1.577 -0.589 1.055 0.802 -0.213 1.356
2300XE 1.476 3.346 -0.0 -3.071 0.297 -0.001	2300XE 1.476 3.346 -0.0 1.391 2.959 -0.001	2300XE 1.476 3.346 -0.0 1.391 2.959 -0.001	2300XE 1.476 3.346 -0.0 1.286 2.981 -0.001
2300XG 0.343 -0.158 -1.119 -0.784 -0.511 -2.211	2300XG 0.343 -0.158 -1.119 0.358 -0.215 -1.419	2300XG 0.343 -0.158 -1.119 0.358 -0.215 -1.419	2300XG 0.343 -0.158 -1.119 1.42 -0.053 -1.343
2300XF -0.646 -2.19 -0.29 10.683 1.627 0.555	2300XF -0.646 -2.19 -0.29 -0.666 -2.17 -0.289	2300XF -0.646 -2.19 -0.29 -0.666 -2.17 -0.289	2300XF -0.646 -2.19 -0.29 -3.647 -3.435 -0.322
2300XJ -3.538 2.095 2.876 -3.706 1.514 3.314	2300XJ -3.538 2.095 2.876 -3.051 1.762 2.585	2300XJ -3.538 2.095 2.876 -3.051 1.762 2.585	2300XJ -3.538 2.095 2.876 -3.064 1.691 2.531
2300XK -3.593 1.829 0.78 -2.275 1.604 0.819	2300XK -3.593 1.829 0.78 -2.932 1.553 0.603	2300XK -3.593 1.829 0.78 -2.932 1.553 0.603	2300XK -3.593 1.829 0.78 -2.702 1.572 0.605
2300XL 0.212 -0.196 0.081 0.602 1.563 -0.134	2300XL 0.212 -0.196 0.081 0.173 -0.105 0.105	2300XL 0.212 -0.196 0.081 0.173 -0.105 0.105	2300XL 0.212 -0.196 0.081 0.327 -0.422 0.083
2300XN -0.47 -0.243 1.872 -3.215 -0.445 1.908	2300XN -0.47 -0.243 1.872 -0.415 -0.255 1.738	2300XN -0.47 -0.243 1.872 -0.415 -0.255 1.738	2300XN -0.47 -0.243 1.872 -0.089 -0.141 1.717
2300XO -2.325 3.304 0.0 -1.401 0.708 0.0	2300XO -2.325 3.304 0.0 -1.936 2.76 -0.0	2300XO -2.325 3.304 0.0 -1.936 2.76 -0.0	2300XO -2.325 3.304 0.0 -1.92 2.714 -0.0
2300XQ -2.857 -7.451 0.392 -0.916 -3.836 0.295	2300XQ -2.857 -7.451 0.392 -2.212 -6.359 0.313	2300XQ -2.857 -7.451 0.392 -2.212 -6.359 0.313	2300XQ -2.857 -7.451 0.392 -1.636 -6.107 0.318
2300XR -0.748 -4.011 4.687 0.506 -2.183 3.938	2300XR -0.748 -4.011 4.687 -0.528 -3.326 3.847	2300XR -0.748 -4.011 4.687 -0.528 -3.326 3.847	2300XR -0.748 -4.011 4.687 -0.837 -3.362 3.764
2300XS 5.339 -1.203 -0.001 5.392 -1.252 -0.001	2300XS 5.339 -1.203 -0.001 4.608 -0.949 -0.0	2300XS 5.339 -1.203 -0.001 4.608 -0.949 -0.0	2300XS 5.339 -1.203 -0.001 4.311 -0.583 -0.0
2300XV -0.278 4.516 -3.421 -1.89 3.244 -2.968	2300XV -0.278 4.516 -3.421 -0.277 4.519 -3.421	2300XV -0.278 4.516 -3.421 -0.277 4.519 -3.421	2300XV -0.278 4.516 -3.421 -0.224 4.53 -3.548
2300XX 2.208 -4.801 1.396 2.076 -2.623 1.772	2300XX 2.208 -4.801 1.396 1.926 -4.178 1.652	2300XX 2.208 -4.801 1.396 1.926 -4.178 1.652	2300XX 2.208 -4.801 1.396 1.822 -4.122 1.615
2300XW 1.155 0.053 0.03 -0.6 0.213 -0.976	2300XW 1.155 0.053 0.03 1.157 0.034 0.03	2300XW 1.155 0.053 0.03 1.157 0.034 0.03	2300XW 1.155 0.053 0.03 0.223 -0.051 -0.001
2300Y0 5.524 1.323 0.001 4.931 -0.604 0.001	2300Y0 5.524 1.323 0.001 5.197 1.287 0.002	2300Y0 5.524 1.323 0.001 5.197 1.287 0.002	2300Y0 5.524 1.323 0.001 4.734 1.114 0.002
2300Y1 -2.3 1.533 7.323 -3.004 0.978 6.7	2300Y1 -2.3 1.533 7.323 -2.138 1.173 6.344	2300Y1 -2.3 1.533 7.323 -2.138 1.173 6.344	2300Y1 -2.3 1.533 7.323 -2.245 1.105 6.306
2300Y3 1.962 2.017 0.429 4.388 0.21 1.696	2300Y3 1.962 2.017 0.429 1.95 2.0 0.425	2300Y3 1.962 2.017 0.429 1.95 2.0 0.425	2300Y3 1.962 2.017 0.429 1.495 1.758 0.396
2300Y7 -0.181 0.248 -0.883 0.349 0.352 -0.399	2300Y7 -0.181 0.248 -0.883 -0.136 0.243 -0.771	2300Y7 -0.181 0.248 -0.883 -0.136 0.243 -0.771	2300Y7 -0.181 0.248 -0.883 0.401 -0.187 -0.676
2300Y8 -2.351 1.811 -0.0 -1.635 2.074 -0.001	2300Y8 -2.351 1.811 -0.0 -1.939 1.614 -0.0	2300Y8 -2.351 1.811 -0.0 -1.939 1.614 -0.0	2300Y8 -2.351 1.811 -0.0 -1.895 1.602 -0.0
2300Y9 -7.0 0.001 -0.0 -4.777 0.001 0.71	2300Y9 -7.0 0.001 -0.0 -6.146 0.001 0.508	2300Y9 -7.0 0.001 -0.0 -6.146 0.001 0.508	2300Y9 -7.0 0.001 -0.0 -6.333 0.001 0.465
2300YB 1.418 -0.847 0.515 -0.147 0.236 0.809	2300YB 1.418 -0.847 0.515 1.322 -0.795 0.602	2300YB 1.418 -0.847 0.515 1.322 -0.795 0.602	2300YB 1.418 -0.847 0.515 1.249 -0.679 0.603
2300YA -1.031 -0.882 2.386 0.653 1.026 2.402	2300YA -1.031 -0.882 2.386 -1.042 -0.877 2.382	2300YA -1.031 -0.882 2.386 -1.042 -0.877 2.382	2300YA -1.031 -0.882 2.386 -1.04 -0.909 2.392
2300YC 0.376 -4.022 3.767 -1.831 -3.813 3.041	2300YC 0.376 -4.022 3.767 0.142 -3.64 3.174	2300YC 0.376 -4.022 3.767 0.142 -3.64 3.174	2300YC 0.376 -4.022 3.767 0.527 -4.115 3.189
2300YD -11.395 5.581 1.559 -6.528 7.114 1.375	2300YD -11.395 5.581 1.559 -8.92 4.49 1.285	2300YD -11.395 5.581 1.559 -8.92 4.49 1.285	2300YD -11.395 5.581 1.559 -9.058 4.51 1.279
2300YE 4.412 0.892 1.743 1.767 1.708 -0.023	2300YE 4.412 0.892 1.743 4.424 0.899 1.74	2300YE 4.412 0.892 1.743 4.424 0.899 1.74	2300YE 4.412 0.892 1.743 4.346 1.729 1.987
2300YH 1.0 -2.067 1.559 0.294 -3.018 2.433	2300YH 1.0 -2.067 1.559 0.999 -2.061 1.565	2300YH 1.0 -2.067 1.559 0.999 -2.061 1.565	2300YH 1.0 -2.067 1.559 0.792 -2.064 1.622
2300YI -2.851 1.508 1.03 -1.128 0.534 2.061	2300YI -2.851 1.508 1.03 -2.642 1.354 1.064	2300YI -2.851 1.508 1.03 -2.642 1.354 1.064	2300YI -2.851 1.508 1.03 -2.129 1.526 0.992
2300YL -0.249 -0.242 -1.022 -0.009 -0.531 -1.951	2300YL -0.249 -0.242 -1.022 -0.253 -0.246 -1.02	2300YL -0.249 -0.242 -1.022 -0.253 -0.246 -1.02	2300YL -0.249 -0.242 -1.022 -0.74 -0.04 -1.294
2300YK -1.694 -1.314 -1.214 -1.662 -1.439 -2.065	2300YK -1.694 -1.314 -1.214 -1.71 -1.326 -1.216	2300YK -1.694 -1.314 -1.214 -1.71 -1.326 -1.216	2300YK -1.694 -1.314 -1.214 -1.079 -1.521 -1.074
2300YM 2.795 1.088 0.0 2.459 1.052 0.0	2300YM 2.795 1.088 0.0 2.588 1.052 0.0	2300YM 2.795 1.088 0.0 2.588 1.052 0.0	2300YM 2.795 1.088 0.0 0.407 0.901 0.0
2300YO -4.405 -1.182 0.637 -2.69 -0.96 -0.504	2300YO -4.405 -1.182 0.637 -3.535 -0.933 -0.009	2300YO -4.405 -1.182 0.637 -3.535 -0.933 -0.009	2300YO -4.405 -1.182 0.637 -3.36 -1.182 -0.025
2300YT 0.199 0.547 1.696 6.718 1.451 1.463	2300YT 0.199 0.547 1.696 0.087 0.494 1.416	2300YT 0.199 0.547 1.696 0.087 0.494 1.416	2300YT 0.199 0.547 1.696 0.318 1.579 1.486
2300YV -4.199 2.057 0.298 -2.655 1.512 0.355	2300YV -4.199 2.057 0.298 -3.93 1.952 0.121	2300YV -4.199 2.057 0.298 -3.93 1.952 0.121	2300YV -4.199 2.057 0.298 -3.463 1.772 0.125
2300YW -2.499 -1.701 0.257 6.555 -0.031 0.356	2300YW -2.499 -1.701 0.257 -2.487 -1.676 0.258	2300YW -2.499 -1.701 0.257 -2.487 -1.676 0.258	2300YW -2.499 -1.701 0.257 -0.503 -2.851 0.22
2300YX 5.943 3.221 1.594 9.62 -0.098 1.163	2300YX 5.943 3.221 1.594 5.168 2.67 1.284	2300YX 5.943 3.221 1.594 5.176 2.953 1.294	2300YX 5.943 3.221 1.594 5.151 2.037 1.295
2300YZ -4.045 -2.976 1.509 -2.001 -0.22 1.4	2300YZ -4.045 -2.976 1.509 -3.581 -2.679 1.334	2300YZ -4.045 -2.976 1.509 -3.581 -2.679 1.334	2300YZ -4.045 -2.976 1.509 -3.141 -3.404 1.358
2300YY 7.681 -1.565 -0.673 4.015 -2.619 -0.127	2300YY 7.681 -1.565 -0.673 7.687 -1.561 -0.677	2300YY 7.681 -1.565 -0.673 7.687 -1.561 -0.677	2300YY 7.681 -1.565 -0.673 4.035 -1.845 -0.696
2300Z0 -2.524 0.994 1.178 -2.741 -1.596 0.619	2300Z0 -2.524 0.994 1.178 -2.322 0.848 0.829	2300Z0 -2.524 0.994 1.178 -2.322 0.848 0.829	2300Z0 -2.524 0.994 1.178 -2.173 0.404 0.824
2300Z2 2.229 -0.75 0.402 0.663 -0.251 0.782	2300Z2 2.229 -0.75 0.402 1.977 -0.726 0.283	2300Z2 2.229 -0.75 0.402 1.977 -0.726 0.283	2300Z2 2.229 -0.75 0.402 1.702 -0.582 0.312
2300Z1 -0.321 -0.294 -1.701 -3.467 -1.214 -1.513	2300Z1 -0.321 -0.294 -1.701 -0.349 -0.282 -1.58	2300Z1 -0.321 -0.294 -1.701 -0.349 -0.282 -1.58	2300Z1 -0.321 -0.294 -1.701 0.172 -1.08 -1.552
2300Z4 3.879 2.306 -0.083 2.995 4.022 -0.097	2300Z4 3.879 2.306 -0.083 3.89 2.299 -0.083	2300Z4 3.879 2.306 -0.083 3.89 2.299 -0.083	2300Z4 3.879 2.306 -0.083 2.74 2.472 0.011
2300Z3 -3.891 1.418 1.599 -4.8 4.752 2.792	2300Z3 -3.891 1.418 1.599 -3.897 1.407 1.609	2300Z3 -3.891 1.418 1.599 -3.897 1.407 1.609	2300Z3 -3.891 1.418 1.599 -3.99 2.05 1.114
2300Z5 -0.647 -0.182 1.498 4.765 -0.945 0.42	2300Z5 -0.647 -0.182 1.498 -0.646 -0.182 1.499	2300Z5 -0.647 -0.182 1.498 -0.713 -0.186 1.496	2300Z5 -0.647 -0.182 1.498 -3.7 -0.764 1.331
2300Z7 -4.291 -0.181 1.456 -1.204 -1.247 0.678	2300Z7 -4.291 -0.181 1.456 -4.288 -0.212 1.008	2300Z7 -4.291 -0.181 1.456 -4.288 -0.212 1.008	2300Z7 -4.291 -0.181 1.456 -2.095 -0.993 1.22
2300ZA 0.523 3.701 -0.816 -4.016 -0.741 3.135	2300ZA 0.523 3.701 -0.816 0.674 3.391 -0.52	2300ZA 0.523 3.701 -0.816 0.603 3.38 -0.461	2300ZA 0.523 3.701 -0.816 -0.08 3.051 -0.368
2300Z9 -1.639 2.177 0.589 0.164 -1.462 -0.298	2300Z9 -1.639 2.177 0.589 -1.623 2.181 0.592	2300Z9 -1.639 2.177 0.589 -1.623 2.181 0.592	2300Z9 -1.639 2.177 0.589 -3.044 2.64 0.801
2300ZB -2.4 5.139 1.353 -2.383 1.705 1.386	2300ZB -2.4 5.139 1.353 -2.224 4.394 1.375	2300ZB -2.4 5.139 1.353 -2.224 4.394 1.375	2300ZB -2.4 5.139 1.353 -1.951 4.349 1.376
2300ZC -7.17 1.113 2.715 -3.817 0.151 3.195	2300ZC -7.17 1.113 2.715 -7.177 1.15 2.712	2300ZC -7.17 1.113 2.715 -7.141 1.136 2.731	2300ZC -7.17 1.113 2.715 -4.229 1.917 2.577
2300ZF 1.232 1.467 2.422 0.934 1.584 2.722	2300ZF 1.232 1.467 2.422 1.126 1.412 2.348	2300ZF 1.232 1.467 2.422 1.126 1.412 2.348	2300ZF 1.232 1.467 2.422 0.572 1.444 2.376
2300ZG 0.248 2.137 1.073 0.206 2.119 0.394	2300ZG 0.248 2.137 1.073 0.194 2.017 0.902	2300ZG 0.248 2.137 1.073 0.194 2.017 0.902	2300ZG 0.248 2.137 1.073 0.316 1.889 0.864
2300ZI 2.26 -0.203 1.214 1.208 1.076 0.846	2300ZI 2.26 -0.203 1.214 1.859 -0.126 1.188	2300ZI 2.26 -0.203 1.214 1.859 -0.126 1.188	2300ZI 2.26 -0.203 1.214 1.882 0.002 1.199
2300ZK -1.399 -0.778 1.23 -0.065 0.599 0.393	2300ZK -1.399 -0.778 1.23 -1.412 -0.777 1.232	2300ZK -1.399 -0.778 1.23 -1.412 -0.777 1.232	2300ZK -1.399 -0.778 1.23 -0.577 -1.122 1.367
2300ZL -4.296 2.534 0.0 1.011 0.083 -0.0	2300ZL -4.296 2.534 0.0 -3.722 2.135 -0.0	2300ZL -4.296 2.534 0.0 -3.722 2.135 -0.0	2300ZL -4.296 2.534 0.0 -3.523 1.632 -0.0
2300ZM -1.371 -0.845 -0.236 0.057 -0.468 -0.131	2300ZM -1.371 -0.845 -0.236 -1.349 -0.77 -0.139	2300ZM -1.371 -0.845 -0.236 -1.349 -0.77 -0.139	2300ZM -1.371 -0.845 -0.236 -0.938 -0.139 -0.254
2300ZP -0.539 3.446 -0.641 -1.137 3.172 -0.838	2300ZP -0.539 3.446 -0.641 -0.589 3.358 -0.499	2300ZP -0.539 3.446 -0.641 -0.589 3.358 -0.499	2300ZP -0.539 3.446 -0.641 -0.683 3.533 -0.501
2300ZQ -2.482 1.494 0.0 -5.629 3.155 0.0	2300ZQ -2.482 1.494 0.0 -2.097 1.292 0.0	2300ZQ -2.482 1.494 0.0 -2.097 1.292 0.0	2300ZQ -2.482 1.494 0.0 -2.028 1.403 0.0
2300ZR -4.945 3.411 1.828 -3.845 2.875 1.252	2300ZR -4.945 3.411 1.828 -4.11 2.835 1.414	2300ZR -4.945 3.411 1.828 -4.11 2.835 1.414	2300ZR -4.945 3.411 1.828 -4.071 3.148 1.48
2300ZS -0.937 1.012 1.476 -2.268 0.875 0.98	2300ZS -0.937 1.012 1.476 -0.834 1.065 1.072	2300ZS -0.937 1.012 1.476 -0.834 1.065 1.072	2300ZS -0.937 1.012 1.476 -0.21 0.203 1.045
2300ZT -0.879 3.587 3.621 -0.954 4.075 4.009	2300ZT -0.879 3.587 3.621 -0.904 2.991 3.185	2300ZT -0.879 3.587 3.621 -0.904 2.991 3.185	2300ZT -0.879 3.587 3.621 -0.852 3.416 3.164
2300ZU -5.193 -2.455 1.469 -5.536 -2.682 1.57	2300ZU -5.193 -2.455 1.469 -4.602 -2.161 1.291	2300ZU -5.193 -2.455 1.469 -4.602 -2.161 1.291	2300ZU -5.193 -2.455 1.469 -5.019 -2.139 1.317
2300ZV -5.316 -1.268 0.003 -3.481 1.658 0.002	2300ZV -5.316 -1.268 0.003 -5.273 -1.275 0.001	2300ZV -5.316 -1.268 0.003 -5.273 -1.275 0.001	2300ZV -5.316 -1.268 0.003 -4.686 -1.118 0.001
2300ZW 3.199 -3.196 0.011 0.433 1.308 0.001	2300ZW 3.199 -3.196 0.011 2.679 -2.584 0.002	2300ZW 3.199 -3.196 0.011 2.679 -2.584 0.002	2300ZW 3.199 -3.196 0.011 1.322 -2.701 0.003
2300ZX -6.709 0.197 0.029 -3.097 0.089 0.011	2300ZX -6.709 0.197 0.029 -6.276 0.113 0.012	2300ZX -6.709 0.197 0.029 -6.276 0.113 0.012	2300ZX -6.709 0.197 0.029 -6.24 -0.089 0.003
2300ZY -0.295 5.184 1.351 -0.175 4.402 1.018	2300ZY -0.295 5.184 1.351 -0.331 4.784 1.224	2300ZY -0.295 5.184 1.351 -0.331 4.784 1.224	2300ZY -0.295 5.184 1.351 0.639 4.796 1.13
2300ZZ 0.06 -0.303 0.996 -0.206 0.28 1.885	2300ZZ 0.06 -0.303 0.996 0.04 -0.283 1.315	2300ZZ 0.06 -0.303 0.996 0.04 -0.283 1.315	2300ZZ 0.06 -0.303 0.996 0.129 -0.273 1.321
230100 3.478 -7.309 0.052 2.44 -9.554 0.012	230100 3.478 -7.309 0.052 3.443 -7.227 0.018	230100 3.478 -7.309 0.052 3.443 -7.227 0.018	230100 3.478 -7.309 0.052 3.419 -7.382 0.021
230101 -2.997 6.01 0.002 -1.207 5.742 0.002	230101 -2.997 6.01 0.002 -2.65 5.673 0.002	230101 -2.997 6.01 0.002 -2.65 5.673 0.002	230101 -2.997 6.01 0.002 -2.205 5.947 0.002
230102 -3.934 -4.236 -1.415 -3.298 -3.089 -1.168	230102 -3.934 -4.236 -1.415 -3.482 -3.668 -1.167	230102 -3.934 -4.236 -1.415 -3.482 -3.668 -1.167	230102 -3.934 -4.236 -1.415 -3.21 -3.743 -1.24
230103 6.103 -1.179 0.022 0.21 -1.184 0.014	230103 6.103 -1.179 0.022 5.371 -1.048 0.007	230103 6.103 -1.179 0.022 5.371 -1.048 0.007	230103 6.103 -1.179 0.022 4.013 -1.567 0.006
230104 -0.955 -4.995 1.473 -0.026 -4.167 1.258	230104 -0.955 -4.995 1.473 -0.772 -4.49 1.178	230104 -0.955 -4.995 1.473 -0.772 -4.49 1.178	230104 -0.955 -4.995 1.473 -0.881 -4.269 1.198
230105 4.155 2.832 1.398 3.907 3.195 1.513	230105 4.155 2.832 1.398 4.15 2.827 1.397	230105 4.155 2.832 1.398 4.15 2.827 1.397	230105 4.155 2.832 1.398 4.96 2.9 1.392
230106 -4.941 0.153 -0.0 -5.879 -3.928 -0.001	230106 -4.941 0.153 -0.0 -4.919 0.142 -0.0	230106 -4.941 0.153 -0.0 -4.942 0.137 -0.0	230106 -4.941 0.153 -0.0 -5.628 -2.715 -0.0
230107 -8.381 -5.058 0.022 -5.421 -6.556 -0.002	230107 -8.381 -5.058 0.022 -6.971 -4.339 -0.0	230107 -8.381 -5.058 0.022 -6.971 -4.339 -0.0	230107 -8.381 -5.058 0.022 -5.896 -4.038 -0.002
230108 -2.028 1.391 0.0 -3.459 0.127 0.0	230108 -2.028 1.391 0.0 -2.017 1.4 0.0	230108 -2.028 1.391 0.0 -2.017 1.4 0.0	230108 -2.028 1.391 0.0 -2.389 0.794 0.0
23010A -2.052 2.059 0.039 -1.651 1.304 0.006	23010A -2.052 2.059 0.039 -1.611 2.044 0.012	23010A -2.052 2.059 0.039 -1.611 2.044 0.012	23010A -2.052 2.059 0.039 -1.802 2.076 0.014
230109 -7.297 2.733 0.895 -8.974 0.336 2.059	230109 -7.297 2.733 0.895 -7.302 2.736 0.9	230109 -7.297 2.733 0.895 -7.327 2.724 0.908	230109 -7.297 2.733 0.895 -6.52 0.793 1.114
23010B 9.595 0.886 1.306 7.947 2.8 1.885	23010B 9.595 0.886 1.306 7.624 0.642 1.522	23010B 9.595 0.886 1.306 7.624 0.642 1.522	23010B 9.595 0.886 1.306 7.395 1.07 1.539
23010C 7.118 6.894 2.236 4.409 6.878 1.139	23010C 7.118 6.894 2.236 6.485 6.129 1.893	23010C 7.118 6.894 2.236 6.485 6.129 1.893	23010C 7.118 6.894 2.236 6.451 6.02 1.845
23010D -5.761 1.44 0.397 -3.523 0.761 -0.009	23010D -5.761 1.44 0.397 -5.235 1.373 0.36	23010D -5.761 1.44 0.397 -5.235 1.373 0.36	23010D -5.761 1.44 0.397 -4.182 0.556 0.185
23010E -3.114 -3.128 0.448 -3.927 -2.589 -0.058	23010E -3.114 -3.128 0.448 -2.881 -2.894 0.247	23010E -3.114 -3.128 0.448 -2.881 -2.894 0.247	23010E -3.114 -3.128 0.448 -3.02 -2.513 0.233
23010F 2.425 3.683 -0.548 2.228 5.896 -0.951	23010F 2.425 3.683 -0.548 2.227 3.508 -0.539	23010F 2.425 3.683 -0.548 2.227 3.508 -0.539	23010F 2.425 3.683 -0.548 1.874 4.365 -0.625
23010G 5.085 4.047 0.001 -0.333 -0.691 0.003	23010G 5.085 4.047 0.001 4.753 3.695 0.001	23010G 5.085 4.047 0.001 4.753 3.695 0.001	23010G 5.085 4.047 0.001 4.877 3.356 0.001
23010H -3.509 2.015 -0.732 -5.283 -1.885 -0.585	23010H -3.509 2.015 -0.732 -3.505 2.022 -0.733	23010H -3.509 2.015 -0.732 -3.505 2.022 -0.733	23010H -3.509 2.015 -0.732 -3.186 1.23 -0.097
23010I -3.782 -3.768 -1.057 0.266 -3.278 -1.148	23010I -3.782 -3.768 -1.057 -3.737 -3.768 -1.05	23010I -3.782 -3.768 -1.057 -3.837 -3.774 -1.062	23010I -3.782 -3.768 -1.057 -2.441 -3.829 -1.333
23010K -3.855 0.04 0.001 -2.455 -0.076 0.001	23010K -3.855 0.04 0.001 -3.726 0.053 -0.0	23010K -3.855 0.04 0.001 -3.726 0.053 -0.0	23010K -3.855 0.04 0.001 -3.471 0.841 -0.0
23010L -5.484 4.103 0.117 -4.613 4.936 0.011	23010L -5.484 4.103 0.117 -4.658 3.383 -0.018	23010L -5.484 4.103 0.117 -4.658 3.383 -0.018	23010L -5.484 4.103 0.117 -5.137 3.581 0.001
23010M -0.656 -0.409 1.25 -0.287 -0.391 1.498	23010M -0.656 -0.409 1.25 -0.639 -0.379 1.251	23010M -0.656 -0.409 1.25 -0.639 -0.379 1.251	23010M -0.656 -0.409 1.25 -0.435 -0.293 1.263
23010O -6.862 0.159 -3.292 -6.358 1.861 -3.274	23010O -6.862 0.159 -3.292 -6.361 0.213 -3.258	23010O -6.862 0.159 -3.292 -6.361 0.213 -3.258	23010O -6.862 0.159 -3.292 -6.376 0.371 -3.266
23010P 2.881 -2.083 -0.001 -0.498 -5.419 -0.001	23010P 2.881 -2.083 -0.001 2.845 -2.103 0.001	23010P 2.881 -2.083 -0.001 2.845 -2.103 0.001	23010P 2.881 -2.083 -0.001 2.427 -1.272 0.001
23010Q 0.571 -4.813 -0.0 1.251 -0.117 -0.0	23010Q 0.571 -4.813 -0.0 0.571 -4.237 -0.0	23010Q 0.571 -4.813 -0.0 0.571 -4.237 -0.0	23010Q 0.571 -4.813 -0.0 -0.6 -3.975 -0.0
2300SG -1.243 2.258 2.372 -0.961 2.256 2.484	2300SG -1.243 2.258 2.372 -0.888 1.738 2.429	2300SG -1.243 2.258 2.372 -0.888 1.738 2.429	2300SG -1.243 2.258 2.372 -0.915 1.773 2.42
23010W 1.269 1.402 1.335 1.393 1.699 1.841	23010W 1.269 1.402 1.335 1.27 1.39 1.337	23010W 1.269 1.402 1.335 1.27 1.39 1.337	23010W 1.269 1.402 1.335 0.752 1.372 1.295
23010X 0.976 1.552 0.016 0.842 2.098 -0.202	23010X 0.976 1.552 0.016 1.003 1.637 -0.041	23010X 0.976 1.552 0.016 1.003 1.637 -0.041	23010X 0.976 1.552 0.016 1.073 1.647 -0.003
23010Y -0.085 0.076 -0.0 -0.368 0.426 -0.223	23010Y -0.085 0.076 -0.0 -0.058 0.127 -0.038	23010Y -0.085 0.076 -0.0 -0.058 0.127 -0.038	23010Y -0.085 0.076 -0.0 -0.011 0.08 -0.02
23010Z 0.258 -0.074 1.251 0.23 0.004 1.767	23010Z 0.258 -0.074 1.251 0.266 -0.07 1.256	23010Z 0.258 -0.074 1.251 0.266 -0.07 1.256	23010Z 0.258 -0.074 1.251 0.417 0.26 1.411
